Category,New_Category
FLASH_MEMORY,Electronics
HEADPHONES,Electronics
DISHWARE_BOWL,Home and Kitchen
SHAVING_AGENT,Beauty and Personal Care
COMPUTER_PROCESSOR,Electronics
COMPUTER_ADD_ON,Electronics
AMAZON_TABLET,Electronics
APPAREL_BELT,"Clothing, Shoes, and Jewelry"
PORTABLE_ELECTRONIC_DEVICE_STAND,Electronics
IMMERSION_HEATER,Home and Kitchen
BODY_LUBRICANT,Beauty and Personal Care
INPUT_MOUSE,Electronics
CELLULAR_PHONE_CASE,Electronics
BODY_POSITIONER,Home and Kitchen
HANDBAG,"Clothing, Shoes, and Jewelry"
UNDERPANTS,"Clothing, Shoes, and Jewelry"
TAPE_MEASURE,Home and Kitchen
AMAZON_TABLET_ACCESSORY,Electronics
COMPUTER_DRIVE_OR_STORAGE,Electronics
TOOTH_CLEANING_AGENT,Beauty and Personal Care
TOILET_PAPER,Home and Kitchen
MOUTHWASH,Beauty and Personal Care
ELECTRONIC_CABLE,Electronics
SCREWDRIVER,Home and Kitchen
GIFT_CARD,Home and Kitchen
EDIBLE_OIL_VEGETABLE,Food
SIM_CARD,Electronics
BED_FRAME,Home and Kitchen
HERB,Food
MEAT,Food
DAIRY_BASED_BUTTER,Food
DAIRY_BASED_CHEESE,Food
JERKY,Food
SEXUAL_STIMULATION_DEVICE,Beauty and Personal Care
FILE_FOLDER,Office Product
SCREEN_PROTECTOR,Electronics
PORTABLE_ELECTRONIC_DEVICE_COVER,Electronics
MEMORY_CARD_READER,Electronics
STORAGE_BAG,Home and Kitchen
INKJET_PRINTER_INK,Office Product
CHAIR,Home and Kitchen
CONSUMER_ELECTRONICS,Electronics
CELLULAR_PHONE,Electronics
VIDEO_GAME_CONSOLE,Electronics
FLAT_SCREEN_DISPLAY_MOUNT,Electronics
GROCERY,Food
FOOD,Food
POULTRY,Food
JUICE_AND_JUICE_DRINK,Food
WIRELESS_ACCESSORY,Electronics
SUGAR_SUBSTITUTE,Food
PET_FOOD,Pet Supplies
TOWEL,Home and Kitchen
TIMER,Home and Kitchen
WRIST_REST,Office Product
HEALTH_PERSONAL_CARE,Beauty and Personal Care
CULINARY_SALT,Food
SKIN_CLEANING_WIPE,Beauty and Personal Care
SANITARY_NAPKIN,Beauty and Personal Care
SKIN_CLEANING_AGENT,Beauty and Personal Care
SHAMPOO,Beauty and Personal Care
BEAUTY,Beauty and Personal Care
BATHWATER_ADDITIVE,Beauty and Personal Care
SNACK_CHIP_AND_CRISP,Food
SURFACE_CLEANING_WIPE,Home and Kitchen
FACIAL_TISSUE,Home and Kitchen
SAUCE,Food
CONDITIONER,Beauty and Personal Care
ABIS_BOOK,Books
PANTS,"Clothing, Shoes, and Jewelry"
PLUMBING_FIXTURE,Home and Kitchen
ELECTRONIC_ADAPTER,Electronics
ITEM_STAND,Home and Kitchen
COSMETIC_CASE,Beauty and Personal Care
PET_SUPPLIES,Pet Supplies
LIP_BALM,Beauty and Personal Care
EYEBROW_COLOR,Beauty and Personal Care
LOCK,Home and Kitchen
LAMP,Home and Kitchen
FURNITURE_COVER,Home and Kitchen
TOY_FIGURE,Toys and Games
GUILD_BEAUTY_GROOMING,Beauty and Personal Care
POPCORN,Food
SALAD_DRESSING,Food
TEA,Food
CEREAL,Food
CRACKER,Food
COOKIE,Food
DRINK_FLAVORED,Food
TOOTHBRUSH,Beauty and Personal Care
FOOD_STORAGE_BAG,Home and Kitchen
PAPER_TOWEL,Home and Kitchen
BAKING_MIX,Food
PROFESSIONAL_HEALTHCARE,Beauty and Personal Care
PLANT_SEED,Home and Kitchen
SWEATSHIRT,"Clothing, Shoes, and Jewelry"
PEST_CONTROL_DEVICE,Home and Kitchen
TOYS_AND_GAMES,Toys and Games
INSECT_REPELLENT,Home and Kitchen
CHARGING_ADAPTER,Electronics
HERBAL_SUPPLEMENT,Beauty and Personal Care
HAT,"Clothing, Shoes, and Jewelry"
TIGHTS,"Clothing, Shoes, and Jewelry"
COAT,"Clothing, Shoes, and Jewelry"
NOTEBOOK_COMPUTER,Electronics
HAIR_BRUSH,Beauty and Personal Care
SWEATER,"Clothing, Shoes, and Jewelry"
SKIN_SERUM,Beauty and Personal Care
NUTRITIONAL_SUPPLEMENT,Beauty and Personal Care
BLANK_BOOK,Books
SKIN_MOISTURIZER,Beauty and Personal Care
CALENDAR,Office Product
PLANNER,Office Product
OFFICE_PRODUCTS,Office Product
BODY_DEODORANT,Beauty and Personal Care
WINDOW_FILM,Home and Kitchen
NAIL_POLISH,Beauty and Personal Care
MEDICATION,Beauty and Personal Care
HARDWARE_HANDLE,Home and Kitchen
AREA_DEODORIZER,Home and Kitchen
GARMENT_STEAMER,Home and Kitchen
FLASHLIGHT,Home and Kitchen
MOP_BUCKET_SET,Home and Kitchen
TEMPORARY_GATE,Home and Kitchen
INCENSE,Home and Kitchen
SKIRT,"Clothing, Shoes, and Jewelry"
SHIRT,"Clothing, Shoes, and Jewelry"
DRESS,"Clothing, Shoes, and Jewelry"
BONDING_ADHESIVES,Home and Kitchen
WALL_ART,Home and Kitchen
HANGING_ROD,Home and Kitchen
FORK,Home and Kitchen
FOOD_SPATULA,Home and Kitchen
ABIS_HOME,Home and Kitchen
UMBRELLA,"Clothing, Shoes, and Jewelry"
EARPLUG,Beauty and Personal Care
TOOTHBRUSH_HOLDER,Home and Kitchen
PET_PEST_CONTROL,Pet Supplies
HOME,Home and Kitchen
HAIR_CLIP,Beauty and Personal Care
NUTS,Food
NAIL_FILE,Beauty and Personal Care
EYELID_COLOR,Beauty and Personal Care
CANDLE,Home and Kitchen
YARN,Home and Kitchen
KNITTING_NEEDLE,Home and Kitchen
TUNIC,"Clothing, Shoes, and Jewelry"
MICROCURRENT_FACIAL_MACHINE,Beauty and Personal Care
FOOD_STORAGE_CONTAINER,Home and Kitchen
HAND_SEWING_NEEDLE,Home and Kitchen
APPAREL_GLOVES,"Clothing, Shoes, and Jewelry"
SOCKS,"Clothing, Shoes, and Jewelry"
STICKER_DECAL,Home and Kitchen
ENVELOPE,Office Product
POWER_CORD,Electronics
STRING_LIGHT,Home and Kitchen
ART_MEDIA_PAPER,Home and Kitchen
ART_AND_CRAFT_SUPPLY,Home and Kitchen
ORTHOPEDIC_BRACE,Beauty and Personal Care
AIR_PURIFIER,Home and Kitchen
SHOES,"Clothing, Shoes, and Jewelry"
PITCHER,Home and Kitchen
PLANTER,Home and Kitchen
SOIL,Home and Kitchen
LIGHT_BULB,Home and Kitchen
DAIRY_BASED_ICE_CREAM,Food
DISHWARE_PLATE,Home and Kitchen
FRUIT,Food
VEGETABLE,Food
SHOWERHEAD,Home and Kitchen
LAUNDRY_HAMPER,Home and Kitchen
TRASH_CAN,Home and Kitchen
PINBOARD,Home and Kitchen
DESK,Home and Kitchen
HVAC_AIR_FILTER,Home and Kitchen
POWER_STRIP,Electronics
UTILITY_SPONGE,Home and Kitchen
VITAMIN,Beauty and Personal Care
BATTERY,Electronics
CLOTHES_PIN,Home and Kitchen
APRON,Home and Kitchen
SELF_STICK_NOTE,Office Product
SHARP_PIN,Home and Kitchen
SHOVEL_SPADE,Home and Kitchen
HOME_LIGHTING_ACCESSORY,Home and Kitchen
STORAGE_RACK,Home and Kitchen
HARDWARE_TUBING,Home and Kitchen
HARDWARE_HINGE,Home and Kitchen
FLOUR,Food
FERTILIZER,Home and Kitchen
BLUE_LIGHT_BLOCKING_EYEGLASSES,Beauty and Personal Care
ROLLING_PIN,Home and Kitchen
BROOM,Home and Kitchen
BREAD,Food
DAIRY_BASED_DRINK,Food
RAW_MATERIALS,Home and Kitchen
COFFEE_MAKER,Home and Kitchen
FLAVORED_DRINK_CONCENTRATE,Food
CLOTHES_HANGER,Home and Kitchen
GARLAND,Home and Kitchen
DISPLAY_ALBUM,Home and Kitchen
ICE_CUBE_TRAY,Home and Kitchen
ADHESIVE_TAPES,Home and Kitchen
MINERAL_SUPPLEMENT,Beauty and Personal Care
MANUAL_SHAVING_RAZOR,Beauty and Personal Care
CUTTING_BOARD,Home and Kitchen
HOME_BED_AND_BATH,Home and Kitchen
COSMETIC_BRUSH,Beauty and Personal Care
SKIN_EXFOLIANT,Beauty and Personal Care
SKIN_TREATMENT_MASK,Beauty and Personal Care
SUNGLASSES,"Clothing, Shoes, and Jewelry"
PACKAGED_SOUP_AND_STEW,Food
DISPOSABLE_INCONTINENCE_SURFACE_PROTECTOR,Beauty and Personal Care
ART_SUPPLIES,Home and Kitchen
CADDY,Home and Kitchen
PERSONAL_PILL_DISPENSER,Beauty and Personal Care
MARKING_PEN,Office Product
WINDOW_SHADE,Home and Kitchen
CARRIER_BAG_CASE,Home and Kitchen
SKIN_PROTECTANT,Beauty and Personal Care
JEWELRY_FINDING,"Clothing, Shoes, and Jewelry"
BRA,"Clothing, Shoes, and Jewelry"
STORAGE_HOOK,Home and Kitchen
HAIR_COMB,Beauty and Personal Care
PILLOWCASE,Home and Kitchen
CURTAIN,Home and Kitchen
BUILDING_MATERIAL,Home and Kitchen
MAKE_UP,Beauty and Personal Care
ITEM_CONTAINER,Home and Kitchen
ASTRINGENT_SUBSTANCE,Beauty and Personal Care
HUMIDIFIER,Home and Kitchen
SPORT_ACTIVITY_GLOVE,Sports and Outdoors
UTILITY_KNIFE,Home and Kitchen
ARTIFICIAL_TREE,Home and Kitchen
ART_CRAFT_KIT,Home and Kitchen
GIFT_WRAP,Home and Kitchen
TREE_TOPPER,Home and Kitchen
PHYSICAL_VIDEO_GAME_SOFTWARE,Electronics
PET_BED_MAT,Pet Supplies
GAME_DICE,Toys and Games
TABLETOP_GAME,Toys and Games
HOME_LIGHTING_AND_LAMPS,Home and Kitchen
FACE_SHAPING_MAKEUP,Beauty and Personal Care
LIP_COLOR,Beauty and Personal Care
SWEATBAND,Sports and Outdoors
SHORTS,"Clothing, Shoes, and Jewelry"
LINT_REMOVER,Home and Kitchen
FUNNEL,Home and Kitchen
HONEY,Food
THICKENING_AGENT,Food
PASTRY,Food
ANIMAL_COLLAR,Pet Supplies
ANIMAL_HARNESS,Pet Supplies
THERAPEUTIC_THERMAL_COMPRESS,Beauty and Personal Care
NAIL_TREATMENT,Beauty and Personal Care
WALLET,"Clothing, Shoes, and Jewelry"
DAIRY_BASED_CREAM,Food
BREAKFAST_CEREAL,Food
DAIRY_BASED_YOGURT,Food
CURTAIN_FASTENER,Home and Kitchen
PROTEIN_DRINK,Food
MAKEUP_PRIMER,Beauty and Personal Care
HAIR_CLEANER_CONDITIONER,Beauty and Personal Care
MASSAGER,Beauty and Personal Care
PET_ACTIVITY_STRUCTURE,Pet Supplies
COSMETIC_NAIL_SET,Beauty and Personal Care
NAIL_POLISH_REMOVER,Beauty and Personal Care
CONDIMENT,Food
SUGAR,Food
LEGUME,Food
NOODLE,Food
NAIL_DRILL,Beauty and Personal Care
ANIMAL_CAGE,Pet Supplies
WASTE_BAG,Home and Kitchen
ANIMAL_VITAMIN,Pet Supplies
OUTDOOR_LIVING,Home and Kitchen
SOAP_DISH,Home and Kitchen
HAIR_REMOVAL_AGENT,Beauty and Personal Care
INCENSE_HOLDER,Home and Kitchen
CLEANING_BRUSH,Home and Kitchen
HOME_MIRROR,Home and Kitchen
NIGHTGOWN_NIGHTSHIRT,"Clothing, Shoes, and Jewelry"
KITCHEN,Home and Kitchen
KITCHEN_TOOLS,Home and Kitchen
CELL_PHONE_HOLSTER,Electronics
COFFEE,Food
SAUTE_FRY_PAN,Home and Kitchen
BLANKET,Home and Kitchen
BEDDING_SET,Home and Kitchen
MEASURING_CUP,Home and Kitchen
SUGAR_CANDY,Food
UNDERWEAR,"Clothing, Shoes, and Jewelry"
WOUND_DRESSING,Beauty and Personal Care
TEXTILE_DEODORIZER,Home and Kitchen
STORAGE_BOX,Home and Kitchen
NUT_BUTTER,Food
FRUIT_SNACK,Food
DISPOSABLE_NAPKIN,Home and Kitchen
TOILET_PAPER_HOLDER,Home and Kitchen
THERMOMETER,Home and Kitchen
PILLOW,Home and Kitchen
FOOD_STRAINER,Home and Kitchen
SPRAY_BOTTLE,Home and Kitchen
FINENECKLACEBRACELETANKLET,"Clothing, Shoes, and Jewelry"
HUMIDITY_METER,Home and Kitchen
SCULPTING_MATERIAL,Home and Kitchen
FITTED_SHEET,Home and Kitchen
PAINT,Home and Kitchen
TABLE,Home and Kitchen
MEAL_REPLACEMENT_BEVERAGE,Food
BACKPACK,"Clothing, Shoes, and Jewelry"
BOOT,"Clothing, Shoes, and Jewelry"
VACUUM_CLEANER,Home and Kitchen
BINOCULAR,Sports and Outdoors
PRETZEL,Food
SAFETY_MASK,Beauty and Personal Care
SANDER,Home and Kitchen
PUZZLES,Toys and Games
ABRASIVES,Home and Kitchen
SLEEPWEAR,"Clothing, Shoes, and Jewelry"
BOARD_GAME,Toys and Games
BRACELET,"Clothing, Shoes, and Jewelry"
NON_RIDING_TOY_VEHICLE,Toys and Games
JEWELRY_SET,"Clothing, Shoes, and Jewelry"
PET_TOY,Pet Supplies
LADDER,Home and Kitchen
SKIN_FOUNDATION_CONCEALER,Beauty and Personal Care
BRA_UNDERWEAR_SET,"Clothing, Shoes, and Jewelry"
APPAREL,"Clothing, Shoes, and Jewelry"
PICTURE_FRAME,Home and Kitchen
RUG,Home and Kitchen
TOOTH_WHITENER,Beauty and Personal Care
TEETHER,Beauty and Personal Care
FOOT_SCRAPER,Beauty and Personal Care
DUMBBELL,Sports and Outdoors
FAUCET,Home and Kitchen
TOILET_SEAT,Home and Kitchen
PERSONAL_FRAGRANCE,Beauty and Personal Care
PICKLE,Food
CLEANING_AGENT,Home and Kitchen
PAPER_TOWEL_HOLDER,Home and Kitchen
COTTON_PAD,Beauty and Personal Care
FIGURINE,Home and Kitchen
HOME_FURNITURE_AND_DECOR,Home and Kitchen
CANDLE_HOLDER,Home and Kitchen
SPORTING_GOODS,Sports and Outdoors
VIRTUAL_REALITY_HEADSET,Electronics
BATHING_SPONGE,Beauty and Personal Care
GAS_SMOKE_FIRE_ALARM,Home and Kitchen
SEXUAL_WELLNESS,Beauty and Personal Care
CLOTHES_RACK,Home and Kitchen
STORAGE_BINDER,Home and Kitchen
WRITING_PAPER,Office Product
CARD_STOCK,Office Product
ELECTRIC_CIRCUIT_TESTING_DEVICE,Electronics
NECKLACE,"Clothing, Shoes, and Jewelry"
SHARPS_DISPOSAL_CONTAINER,Home and Kitchen
MAILBOX,Home and Kitchen
SIGNAGE,Home and Kitchen
LAUNDRY_DETERGENT,Home and Kitchen
RAZOR_BLADE_CARTRIDGE,Beauty and Personal Care
HAIR_TIE,Beauty and Personal Care
WRITING_INSTRUMENT,Office Product
RECIPROCATING_HEDGE_TRIMMER,Home and Kitchen
SHEET_PAPER,Office Product
GREETING_CARD,Home and Kitchen
INSTRUMENT_PARTS_AND_ACCESSORIES,Electronics
IRON_ON_TRANSFER_DESIGN,Home and Kitchen
COSTUME_HEADWEAR,"Clothing, Shoes, and Jewelry"
TEXTILE_IRON,Home and Kitchen
BED_LINEN_SET,Home and Kitchen
SKIN_CARE_AGENT,Beauty and Personal Care
DRINK_COASTER,Home and Kitchen
AUTO_KEY_SHELL,Electronics
SAFETY_GLASSES,Beauty and Personal Care
DUFFEL_BAG,"Clothing, Shoes, and Jewelry"
PORTABLE_ELECTRONIC_DEVICE_MOUNT,Electronics
HAIRBAND,Beauty and Personal Care
HAIR_COLORING_AGENT,Beauty and Personal Care
HAIR_DRYER,Beauty and Personal Care
HAIR_STYLING_AGENT,Beauty and Personal Care
MOISTURIZING_SOCK_GLOVE,Beauty and Personal Care
DRAFT_STOPPER,Home and Kitchen
POPCORN_POPPER,Home and Kitchen
AUTO_ACCESSORY,Electronics
DIGITAL_DEVICE_3,Electronics
ELECTROSHOCK_WEAPON,Sports and Outdoors
COMPUTER_INPUT_DEVICE,Electronics
VEHICLE_LIGHT_BULB,Electronics
VEHICLE_LIGHTING_CONVERSION_KIT,Electronics
CUTTING_TOOLS,Home and Kitchen
SCISSORS,Home and Kitchen
LIQUID_INK,Office Product
PROTECTIVE_GLOVE,Home and Kitchen
VIDEO_GAME_CONTROLLER,Electronics
PERSONAL_COMPUTER,Electronics
SECURITY_CAMERA,Electronics
VACUUM_FILTER,Home and Kitchen
CHOCOLATE_CANDY,Food
SCULPTURE,Home and Kitchen
ESSENTIAL_OIL,Beauty and Personal Care
DECORATIVE_SIGNAGE,Home and Kitchen
DECORATIVE_CUTOUT,Home and Kitchen
CHEWING_GUM,Food
DRINKING_CUP,Home and Kitchen
PHYSICAL_MOVIE,Electronics
WIND_CHIME,Home and Kitchen
ELECTRONIC_GIFT_CARD,Electronics
BANNER,Home and Kitchen
NETWORKING_ROUTER,Electronics
MODEM,Electronics
BAKING_PAN,Home and Kitchen
ABIS_DVD,Electronics
COOKWARE_SET,Home and Kitchen
SHOE_INSERT,"Clothing, Shoes, and Jewelry"
PHYSICAL_TV_SERIES,Electronics
THERMOPLASTIC_FILAMENT,Electronics
CONTROLLER,Electronics
3D_PRINTER,Electronics
MECHANICAL_COMPONENTS,Electronics
PAINT_BRUSH,Home and Kitchen
MECHANICAL_FASTENERS,Home and Kitchen
ARTIFICIAL_PLANT,Home and Kitchen
POTABLE_WATER_FILTER,Home and Kitchen
SAW_BLADE,Home and Kitchen
RING,"Clothing, Shoes, and Jewelry"
ENGINE_AIR_FILTER,Electronics
VEHICLE_WIND_DEFLECTOR,Electronics
ABIS_GIFT_CARD,Electronics
CANDY,Food
SNACK_MIX,Food
PAJAMAS,"Clothing, Shoes, and Jewelry"
GUN_HOLSTER,"Clothing, Shoes, and Jewelry"
ABIS_MUSIC,Electronics
CARRYING_CASE_OR_BAG,"Clothing, Shoes, and Jewelry"
ORCA_SHIRT,"Clothing, Shoes, and Jewelry"
CLOCK,Home and Kitchen
LAWN_MOWER,Home and Kitchen
MEDICAL_COMPRESSION_GARMENT,Beauty and Personal Care
ROASTING_PAN,Home and Kitchen
PET_FEEDER,Pet Supplies
INTEGRATED_STEREO_SYSTEM,Electronics
SLIPPER,"Clothing, Shoes, and Jewelry"
JEWELRY_STORAGE,"Clothing, Shoes, and Jewelry"
ACCESSORY,"Clothing, Shoes, and Jewelry"
HARDWARE,Home and Kitchen
BABY_CARRIER,Home and Kitchen
HANDRAIL,Home and Kitchen
SPORT_EQUIPMENT_BAG_CASE,Sports and Outdoors
INFANT_TODDLER_CAR_SEAT,Home and Kitchen
TOOTHBRUSH_HEAD,Beauty and Personal Care
MULTITOOL,Home and Kitchen
ELECTRIC_SHAVER,Beauty and Personal Care
STATIONARY_BICYCLE,Sports and Outdoors
SERVEWARE,Home and Kitchen
INPUT_PEN,Electronics
MICROPHONE,Electronics
GARDEN_SHEAR_SCISSORS,Home and Kitchen
CONTACT_LENS_CLEANER,Beauty and Personal Care
VIDEO_DISC_PLAYER,Electronics
HOOK_LOOP_FASTENER,Home and Kitchen
BODY_STRAP,"Clothing, Shoes, and Jewelry"
VIDEO_GAME_ACCESSORIES,Electronics
DUVET_COVER,Home and Kitchen
TOOLS,Home and Kitchen
HEARING_AMPLIFIER,Beauty and Personal Care
TEAPOT,Home and Kitchen
EARMUFF,"Clothing, Shoes, and Jewelry"
COUNTERTOP_GRIDDLE_APPLIANCE,Home and Kitchen
BOOK_DOCUMENT_STAND,Home and Kitchen
BATHTUB_SHOWER_MAT,Home and Kitchen
TABLET_COMPUTER,Electronics
MOUSE_PAD,Electronics
VEHICLE_TIRE,Electronics
GUILD_HOME,Home and Kitchen
WATCH_BAND,"Clothing, Shoes, and Jewelry"
THERMOS,Home and Kitchen
LAB_SUPPLY,Home and Kitchen
CLIPBOARD,Office Product
SPEAKERS,Electronics
FURNITURE_FLOOR_PROTECTOR,Home and Kitchen
SYRINGE,Beauty and Personal Care
WRITING_BOARD,Office Product
GLUCOSE_METER,Beauty and Personal Care
ERASER,Office Product
DIGITAL_PICTURE_FRAME,Electronics
HAND_STRENGTHENER,Sports and Outdoors
COOKTOP,Home and Kitchen
SPOON,Home and Kitchen
PERSONAL_CARE_APPLIANCE,Beauty and Personal Care
PHONE_ACCESSORY,Electronics
NETWORK_INTERFACE_CONTROLLER_ADAPTER,Electronics
RUBBER_STAMP,Office Product
FOOD_PROCESSOR,Home and Kitchen
RESPIRATOR,Beauty and Personal Care
FASTENER_DRIVE_BIT,Home and Kitchen
COMPUTER_COMPONENT,Electronics
BOTTLE,Home and Kitchen
TWEEZER,Beauty and Personal Care
SAFETY_MASK_STRAP_EXTENDER,Beauty and Personal Care
KEYCHAIN,"Clothing, Shoes, and Jewelry"
HAIR_EXTENSION,Beauty and Personal Care
CIRCUIT_BREAKER,Electronics
VDO_DEVICES,Electronics
KEYBOARDS,Electronics
NON_DAIRY_CREAM,Food
DOWNLOADABLE_VIDEO_GAME,Electronics
CONSOLE_VIDEO_GAMES,Electronics
INTERNAL_MEMORY,Electronics
COMPUTER_CHASSIS,Electronics
AMAZON_BOOK_READER,Electronics
VIDEO_CARD,Electronics
ELECTRONIC_COMPONENT_FAN,Electronics
AMAZON_BOOK_READER_ACCESSORY,Electronics
AIR_CONDITIONER,Home and Kitchen
MONITOR,Electronics
SHELF,Home and Kitchen
PENCIL_SHARPENER,Office Product
CAMCORDER,Electronics
HAIR_TRIMMER,Beauty and Personal Care
CABLE_TIE,Home and Kitchen
KEYBOARD_MOUSE_SET,Electronics
UTILITY_MAGNET,Home and Kitchen
ICE_CREAM_MAKER,Home and Kitchen
SYSTEM_POWER_DEVICE,Electronics
SINK,Home and Kitchen
SANDAL,"Clothing, Shoes, and Jewelry"
SKIN_CLEANING_BRUSH,Beauty and Personal Care
SWIMWEAR,"Clothing, Shoes, and Jewelry"
SUNSCREEN,Beauty and Personal Care
SOUND_CARD,Electronics
CANNED_AIR,Home and Kitchen
FOOD_OR_BEVERAGE_WARMER,Home and Kitchen
TEMPORARY_HANGER_HOOK,Home and Kitchen
FOOTREST,Home and Kitchen
ALCOHOLIC_BEVERAGE,Food
BACKDROP,Home and Kitchen
DIGITAL_DEVICE_3_ACCESSORY,Electronics
CARGO_STRAP,Home and Kitchen
PHYSICAL_SOFTWARE,Electronics
OPTICAL_DISC_DRIVE,Electronics
BUNGEE_CORD,Home and Kitchen
HANGING_ORNAMENT,Home and Kitchen
PET_PLAYPEN,Pet Supplies
NOISE_MACHINE,Home and Kitchen
LABEL,Office Product
COOKIE_CUTTER,Home and Kitchen
COOKING_CONTAINER,Home and Kitchen
ANIMAL_INCONTINENCE_PROTECTOR,Pet Supplies
SANDBOX,Home and Kitchen
INCONTINENCE_PROTECTOR,Beauty and Personal Care
COSTUME_OUTFIT,"Clothing, Shoes, and Jewelry"
KITCHEN_KNIFE,Home and Kitchen
WEIGH_SCALE,Home and Kitchen
MATTRESS_COVER,Home and Kitchen
EYEGLASS_CASE,"Clothing, Shoes, and Jewelry"
LASER_PRINTER_TONER,Office Product
LITTER_BOX,Pet Supplies
PRETEND_PLAY_TOY,Toys and Games
SWING,Home and Kitchen
SEWING_MACHINE_NEEDLE,Home and Kitchen
REMOTE_CONTROL,Electronics
DOORSTOP,Home and Kitchen
PAPER_PRODUCT,Office Product
ELECTRIC_LIGHT,Home and Kitchen
MATTRESS,Home and Kitchen
SEALANT,Home and Kitchen
ZIPPER_FASTENER,Home and Kitchen
MENSTRUAL_CUP,Beauty and Personal Care
MAJOR_HOME_APPLIANCES,Home and Kitchen
STORAGE_DRAWER,Home and Kitchen
PLAYHOUSE,Home and Kitchen
CABLE_OR_ADAPTER,Electronics
VEHICLE_LIGHT_ASSEMBLY,Electronics
ANTENNA,Electronics
MECHANICAL_BELT,Home and Kitchen
ANIMAL_NUTRITIONAL_SUPPLEMENT,Pet Supplies
MUSCLE_ROLLER,Sports and Outdoors
SNACK_FOOD_BAR,Food
ROBOTIC_VACUUM_CLEANER,Home and Kitchen
LEASH,Pet Supplies
BOTTLE_RACK,Home and Kitchen
STANDALONE_STREAMING_MEDIA_PLAYER,Electronics
MEDICAL_TEST_STRIP,Beauty and Personal Care
EXERCISE_MAT,Sports and Outdoors
ANIMAL_FUR_CLEANER_CONDITIONER,Pet Supplies
SLOW_COOKER,Home and Kitchen
UTILITY_CART_WAGON,Home and Kitchen
EARRING,"Clothing, Shoes, and Jewelry"
LIGHT_FIXTURE,Home and Kitchen
SHEET_PAN,Home and Kitchen
ELECTRONIC_SWITCH,Electronics
TOASTER,Home and Kitchen
HOSE_PIPE_FITTING,Home and Kitchen
BASKET,Home and Kitchen
HARDWARE_STAPLE,Home and Kitchen
PICTURE_HANGER,Home and Kitchen
FABRIC,Home and Kitchen
SLED,Home and Kitchen
DISHWASHER_DETERGENT,Home and Kitchen
MASCARA,Beauty and Personal Care
DRAIN_OPENER_SUBSTANCE,Home and Kitchen
AIR_COMPRESSOR,Home and Kitchen
