Category,New_Category
WATER_PURIFICATION_UNIT,Home and Kitchen
EYELASH_CURLER,Beauty and Personal Care
PROTEIN_SUPPLEMENT_POWDER,Food
HARDWARE_CLAMP_VISE,Home and Kitchen
CAMERA_STAGE_LIGHTING_MODIFIER,Electronics
MAGNIFIER,Home and Kitchen
CARD_DOCUMENT_SLEEVE,Office Product
WATER,Food
VINEGAR,Food
RICE_MIX,Food
LEAVENING_AGENT,Food
BAKING_CUP,Home and Kitchen
MILK_SUBSTITUTE,Food
NUT_AND_SEED,Food
FABRIC_SOFTENER,Home and Kitchen
DRINKING_STRAW,Home and Kitchen
CHOPSTICK,Home and Kitchen
DUST_REMOVAL_TOOL,Home and Kitchen
BLOOD_OXYGEN_MONITOR,Beauty and Personal Care
COFFEE_FILTER,Home and Kitchen
COMPOST_BIN,Home and Kitchen
TRIVET,Home and Kitchen
ELECTRIC_FOOD_MILL_GRINDER,Home and Kitchen
SAFE,Home and Kitchen
ELECTRIC_WATER_BOILER,Home and Kitchen
DISH_DRYING_MAT,Home and Kitchen
INSTALLATION_SERVICES,Home and Kitchen
BED,Home and Kitchen
LAB_CHEMICAL,Home and Kitchen
SKIN_CARE_PRODUCT,Beauty and Personal Care
ART_EASEL,Home and Kitchen
BENCH,Home and Kitchen
CARPET_UPHOLSTERY_CLEANING_MACHINE,Home and Kitchen
BODY_CARE_PRODUCT,Beauty and Personal Care
TREADMILL,Sports and Outdoors
DRESSER,Home and Kitchen
BOOKMARK,Home and Kitchen
SAFETY_SUPPLY,Home and Kitchen
TRAMPOLINE,Sports and Outdoors
DIETARY_SUPPLEMENTS,Beauty and Personal Care
IRRIGATION_SPRINKLER,Home and Kitchen
ELECTRIC_FAN,Home and Kitchen
DIGITAL_DEVICE_4,Electronics
WATERING_CAN,Home and Kitchen
CLIMBING_PLANT_SUPPORT_STRUCTURE,Home and Kitchen
CAKE,Food
TOWEL_HOLDER,Home and Kitchen
ROBE,"Clothing, Shoes, and Jewelry"
APPENDAGE_WARMER,"Clothing, Shoes, and Jewelry"
ELECTRIC_HEATING_PAD,Home and Kitchen
LAMINATOR,Office Product
AUDIO_MIXING_CONSOLE,Electronics
SOUND_AND_RECORDING_EQUIPMENT,Electronics
DRILL_BITS,Home and Kitchen
VIDEO_PROJECTOR,Electronics
UTILITY_JACK,Home and Kitchen
SYRUP,Food
OUTDOOR_RECREATION_PRODUCT,Sports and Outdoors
FISHING_NET,Sports and Outdoors
FIRST_AID_KIT,Home and Kitchen
COSTUME_MASK,"Clothing, Shoes, and Jewelry"
ELECTRONIC_FINDER,Electronics
CE_ACCESSORY,Electronics
INDUSTRIAL_CASTERS,Home and Kitchen
BABY_PRODUCT,Home and Kitchen
BABY_BOTTLE,Home and Kitchen
HANGING_MOBILE,Home and Kitchen
NASAL_ASPIRATOR,Beauty and Personal Care
CHANGING_PAD_COVER,Home and Kitchen
SLEEP_MASK,Beauty and Personal Care
SHOELACE,"Clothing, Shoes, and Jewelry"
FURNITURE_EDGE_BUMPER,Home and Kitchen
BOTTLE_NIPPLE,Home and Kitchen
SLEEPING_BAG,Home and Kitchen
BATTERY_CHARGER,Electronics
AIR_MATTRESS,Home and Kitchen
TENT,Home and Kitchen
PERSONAL_FLOTATION_DEVICE,Sports and Outdoors
EDUCATIONAL_SUPPLIES,Home and Kitchen
MEAL_HOLDER,Home and Kitchen
TWO_WAY_RADIO,Electronics
WATCH,"Clothing, Shoes, and Jewelry"
APPAREL_HEAD_NECK_COVERING,"Clothing, Shoes, and Jewelry"
RECREATION_BALL,Sports and Outdoors
SAFETY_MASK_REPLACEMENT_FILTER,Beauty and Personal Care
HEADPHONE_EARPAD,Electronics
WIRELESS_AUDIO_ADAPTER,Electronics
CONDOM,Beauty and Personal Care
FIDGET_TOY_SPINNER,Toys and Games
KNEE_PAD,Sports and Outdoors
SEASONING,Food
WEIGHT_RACK,Sports and Outdoors
COUNTERTOP_FOOD_STEAMER,Home and Kitchen
FOOTWEAR_CARE_KIT,"Clothing, Shoes, and Jewelry"
SURVIVAL_KIT,Home and Kitchen
HAIR_IRON,Beauty and Personal Care
LEOTARD,"Clothing, Shoes, and Jewelry"
BALLOON,Home and Kitchen
TABLECLOTH,Home and Kitchen
AIR_PUMP,Home and Kitchen
PARTY_DECORATION_PACK,Home and Kitchen
VEHICLE_SEAT_COVER,Electronics
WAIST_CINCHER,"Clothing, Shoes, and Jewelry"
FALSE_NAIL,Beauty and Personal Care
SEWING_TOOL_SET,Home and Kitchen
ELECTRONIC_SIGNAL_CONVERTER,Electronics
TONG_UTENSIL,Home and Kitchen
SYSTEM_CABINET,Home and Kitchen
BAKEWARE_SET,Home and Kitchen
TREE_SKIRT,Home and Kitchen
MACHINE_LUBRICANT,Home and Kitchen
FLASH_DRIVE,Electronics
CONCENTRATED_FLAVORING_SUBSTANCE,Food
FOOD_WRAP,Home and Kitchen
BATH_SAFETY_SEATING,Home and Kitchen
FISH,Food
SECURITY_ELECTRONICS,Electronics
LANDLINE_PHONE,Electronics
SHELLFISH,Food
ELECTRONIC_WIRE,Electronics
AV_SIGNAL_SWITCH,Electronics
MULTIPORT_HUB,Electronics
RULER,Office Product
CORRECTIVE_EYEGLASSES,"Clothing, Shoes, and Jewelry"
FOOD_SLICER,Home and Kitchen
TOY_GUN,Toys and Games
WALKER,Home and Kitchen
ABIS_DOWNLOADABLE_SOFTWARE,Electronics
PRINTER,Electronics
DECORATIVE_PILLOW_COVER,Home and Kitchen
TOY_BUILDING_BLOCK,Toys and Games
TEACHING_EQUIPMENT,Home and Kitchen
COORDINATED_OUTFIT,"Clothing, Shoes, and Jewelry"
TOY_FIGURE_PLAYSET,Toys and Games
SQUEEZE_TOY,Toys and Games
LOOSE_CUT_GEM,"Clothing, Shoes, and Jewelry"
CHARM,"Clothing, Shoes, and Jewelry"
LICENSE_PLATE_ATTACHMENT,Electronics
VEHICLE_MIRROR,Electronics
ASHTRAY,Home and Kitchen
BABY_RATTLE,Toys and Games
BAKING_PAPER,Home and Kitchen
COSMETIC_POWDER,Beauty and Personal Care
TASK_TRAY,Home and Kitchen
STORAGE_COVER,Home and Kitchen
FALSE_EYELASH,Beauty and Personal Care
ONBOARD_CAMERA,Electronics
FLASH_CARD,Office Product
NAIL_CLIPPER,Beauty and Personal Care
CRAFT_BEAD,Home and Kitchen
DYE,Home and Kitchen
AIR_FRYER,Home and Kitchen
CAULKS,Home and Kitchen
CRAFT_MOLD,Home and Kitchen
CAMERA_CONTINUOUS_LIGHT,Electronics
FASHIONEARRING,"Clothing, Shoes, and Jewelry"
FOOD_MIXER,Home and Kitchen
JAR,Home and Kitchen
INDUSTRIAL_HOSE,Home and Kitchen
DAILY_LIVING_AIDS,Home and Kitchen
FIDGET_TOY,Toys and Games
FASHIONOTHER,"Clothing, Shoes, and Jewelry"
MISC_OTHER,Home and Kitchen
PARTY_FAVOR,Home and Kitchen
LUXURY_BEAUTY,Beauty and Personal Care
SELF_DEFENSE_SPRAY,Beauty and Personal Care
TONNEAU_COVER,Electronics
LUGGAGE,"Clothing, Shoes, and Jewelry"
BICYCLE_CARGO_RACK,Electronics
WATER_FLOTATION_DEVICE,Sports and Outdoors
SPLASH_POOL,Home and Kitchen
PORTABLE_ELECTRONIC_DEVICE_ARMBAND,Electronics
BICYCLE,Sports and Outdoors
BICYCLE_LIGHT,Electronics
VEHICLE_BAG,Electronics
KNIFE_BLOCK,Home and Kitchen
FURNITURE_LEG,Home and Kitchen
POWER_BANK,Electronics
BAKING_MAT,Home and Kitchen
HIP_FLASK,Home and Kitchen
SEWING_PATTERN,Home and Kitchen
CAN_OPENER,Home and Kitchen
CUP_HOLDER,Home and Kitchen
COOKWARE,Home and Kitchen
SOUS_VIDE_MACHINE,Home and Kitchen
FIRE_PIT,Home and Kitchen
CYCLING_TIRE,Electronics
BICYCLE_BRAKE_PAD,Electronics
VEHICLE_BODY_PANEL,Electronics
FOOD_SERVICE_SUPPLY,Home and Kitchen
CONTAINER_LID,Home and Kitchen
MOUTH_GUARD,Sports and Outdoors
FOOD_DEHYDRATOR,Home and Kitchen
WASHER,Home and Kitchen
SPORT_HELMET,Sports and Outdoors
FURNITURE_LINER,Home and Kitchen
GARDEN_TOOL_SET,Home and Kitchen
BLOOD_LANCET,Beauty and Personal Care
BLOOD_PRESSURE_MONITOR,Beauty and Personal Care
PACIFIER,Home and Kitchen
MONEY_BANK,Home and Kitchen
SUSPENDER,"Clothing, Shoes, and Jewelry"
BREAST_PUMP,Beauty and Personal Care
BABY_FORMULA,Food
BED_RAIL,Home and Kitchen
BATH_TOY,Home and Kitchen
BICYCLE_PEDAL,Electronics
BICYCLE_BELL,Electronics
PESTICIDE,Home and Kitchen
PIPING_TIP,Home and Kitchen
BRASS_AND_WOODWIND_INSTRUMENTS,Electronics
VEHICLE_BRAKE_PAD,Electronics
HOPPING_TOY,Toys and Games
FOOD_GRATER,Home and Kitchen
STEP_STOOL,Home and Kitchen
EXERCISE_BAND,Sports and Outdoors
BAKING_CHOCOLATE,Food
FOOD_PREPARATION_MOLD,Home and Kitchen
CRAFT_WOOD,Home and Kitchen
ROTATING_TRAY,Home and Kitchen
WIG,"Clothing, Shoes, and Jewelry"
EYEGLASS_FRAME,"Clothing, Shoes, and Jewelry"
MILK_FROTHER,Home and Kitchen
SCIENCE_FUNDAMENTALS_KIT,Home and Kitchen
PLACEMAT,Home and Kitchen
REUSABLE_INCONTINENCE_SURFACE_PROTECTOR,Beauty and Personal Care
BALANCE_BOARD,Sports and Outdoors
MOUNT_BRACKET,Home and Kitchen
TOY_VEHICLE_SET,Toys and Games
BUBBLE_MAKER,Home and Kitchen
EXERCISE_BLOCK,Sports and Outdoors
ANIMAL_LITTER,Pet Supplies
ELECTRICAL_PLUG,Electronics
ANIMAL_PERCH,Pet Supplies
PUMP_DISPENSER,Home and Kitchen
COSMETIC_SPONGE,Beauty and Personal Care
CELL_PHONE_GRIP,Electronics
WIPER_BLADE,Electronics
TRAY,Home and Kitchen
ANIMAL_CARRIER,Pet Supplies
TELEVISION,Electronics
AROMA_DIFFUSER,Home and Kitchen
STEAM_CLEANER,Home and Kitchen
CAMERA_TRIPOD,Electronics
DRILL,Home and Kitchen
TOOL_BELT,Home and Kitchen
MECHANICAL_LIGHTER,Home and Kitchen
OVERALLS,"Clothing, Shoes, and Jewelry"
WEATHER_STRIPPING,Home and Kitchen
VEHICLE_COVER,Electronics
WATER_HEATER,Home and Kitchen
HVAC_CONTROL_THERMOSTAT,Home and Kitchen
PLUG_STOPPER,Home and Kitchen
WRENCH,Home and Kitchen
KAYAK,Sports and Outdoors
GREENHOUSE,Home and Kitchen
AUTO_PART,Electronics
DEHUMIDIFIER,Home and Kitchen
FUSE,Electronics
SPACE_HEATER,Home and Kitchen
DRAIN_STRAINER,Home and Kitchen
TRACTION_CLEAT,Sports and Outdoors
ELECTRONIC_COMPONENT,Electronics
ROLLING_PAPER,Home and Kitchen
GASKETS,Home and Kitchen
VALVE,Home and Kitchen
MP3_PLAYER,Electronics
PRINT_COPY_PAPER,Office Product
BEVERAGE,Food
ELLIPTICAL_TRAINER,Sports and Outdoors
WIRELESS_SIGNAL_REPEATER,Electronics
COMPUTER,Electronics
REFRIGERATOR,Home and Kitchen
AV_FURNITURE,Home and Kitchen
RADIO,Electronics
PIZZA,Food
DENTAL_FLOSS,Beauty and Personal Care
BOTTLE_OPENER,Home and Kitchen
FUEL_PUMP,Electronics
PACKING_MATERIAL,Home and Kitchen
VEHICLE_EMBLEM,Electronics
COLLECTIBLE_CARD,Home and Kitchen
TURNTABLE,Electronics
PIERCING_JEWELRY,"Clothing, Shoes, and Jewelry"
WEBCAM,Electronics
GRAPHIC_TABLET,Electronics
SINGLE_BOARD_COMPUTER,Electronics
BINDER_DIVIDER,Office Product
STOVETOP_KETTLE,Home and Kitchen
LEG_SLEEVE,"Clothing, Shoes, and Jewelry"
PICNIC_HOLDER,Home and Kitchen
STRENGTH_TRAINING_MACHINE,Sports and Outdoors
RANGEFINDER,Sports and Outdoors
WEIGHTLIFTING_BELT,Sports and Outdoors
BREAST_PETAL,"Clothing, Shoes, and Jewelry"
FABRIC_APPLIQUE_PATCH,Home and Kitchen
TAMPON,Beauty and Personal Care
SMOKING_PIPE,Home and Kitchen
NECKTIE,"Clothing, Shoes, and Jewelry"
CAPO,Electronics
TELESCOPE,Sports and Outdoors
FLATWARE,Home and Kitchen
TRADING_CARDS_CARDS_SETS,Home and Kitchen
ORAL_IRRIGATOR,Beauty and Personal Care
RELAY,Electronics
STROLLER,Home and Kitchen
SPORT_MITT,Sports and Outdoors
PHONE,Electronics
MUSICAL_INSTRUMENTS,Electronics
SOFA,Home and Kitchen
FIREPLACE,Home and Kitchen
POWER_CONVERTER,Electronics
BIOMETRIC_MONITOR,Beauty and Personal Care
ANIMAL_RECOVERY_COLLAR_CONE,Pet Supplies
CAMERA_OTHER_ACCESSORIES,Electronics
ANIMAL_WATER_DISPENSER,Pet Supplies
TOTE_BAG,"Clothing, Shoes, and Jewelry"
TRANSPORT_RACK,Home and Kitchen
WEARABLE_COMPUTER,Electronics
BASE_LAYER_APPAREL_SET,"Clothing, Shoes, and Jewelry"
SOCKSHOSIERY,"Clothing, Shoes, and Jewelry"
FASHIONNECKLACEBRACELETANKLET,"Clothing, Shoes, and Jewelry"
DUTCH_OVENS,Home and Kitchen
CORE_PIT_REMOVER,Home and Kitchen
CRAFT_WRAPPING_TISSUE_PAPER,Home and Kitchen
BUTTER_DISH,Home and Kitchen
FURNITURE,Home and Kitchen
PALETTE_PUTTY_KNIFE,Home and Kitchen
HOLE_PUNCH,Office Product
PET_PLACEMAT,Pet Supplies
CAMERA_DIGITAL,Electronics
FURNITURE_SLIDER,Home and Kitchen
CABINET,Home and Kitchen
BADGE_HOLDER,Office Product
PUFFED_SNACK,Food
REINFORCED_ART_SURFACE,Home and Kitchen
FOOD_SCOOP,Home and Kitchen
TILE,Home and Kitchen
LIGHT_BOX,Home and Kitchen
HAMMER_MALLET,Home and Kitchen
MAPS,Home and Kitchen
BODY_PAINT,Beauty and Personal Care
GLITTER,Home and Kitchen
DRIED_PLANT,Home and Kitchen
ART,Home and Kitchen
AQUARIUM_POND_WATER_TREATMENT,Pet Supplies
ANIMAL_STAIR,Pet Supplies
LAP_DESK,Home and Kitchen
ELASTIC_BAND,Home and Kitchen
INK_OR_TONER,Office Product
SELF_TANNER,Beauty and Personal Care
DESK_PAD,Office Product
POT_HOLDER,Home and Kitchen
BUCKET,Home and Kitchen
PORTABLE_AUDIO,Electronics
HEAT_SINK,Electronics
PRIME,Electronics
WALL_PLATE,Home and Kitchen
AIR_GUN_PROJECTILE,Sports and Outdoors
HAIR_ROLLER,Beauty and Personal Care
HAIR_TRIMMING_KIT,Beauty and Personal Care
SCREWS,Home and Kitchen
SPORT_BAT,Sports and Outdoors
VACUUM_CLEANER_BAG,Home and Kitchen
SQUEEGEE,Home and Kitchen
TOGGLE_SWITCH,Electronics
POOL_VACUUM,Home and Kitchen
STEERING_WHEEL_COVER,Electronics
MUSICAL_INSTRUMENT_TOY,Toys and Games
HAMMOCK,Home and Kitchen
SCARF,"Clothing, Shoes, and Jewelry"
CORSET,"Clothing, Shoes, and Jewelry"
RUG_PAD,Home and Kitchen
SNORKELING_SET,Sports and Outdoors
FUEL_LAMP,Home and Kitchen
NAVIGATION_COMPASS,Sports and Outdoors
FLAME_WICK,Home and Kitchen
DEEP_FRYER,Home and Kitchen
WIRE,Electronics
ONE_PIECE_OUTFIT,"Clothing, Shoes, and Jewelry"
HOBBIES,Home and Kitchen
GUILD_JEWELRY,"Clothing, Shoes, and Jewelry"
PUPPET,Toys and Games
PRESSURE_COOKER,Home and Kitchen
SOLID_FIRE_FUEL,Home and Kitchen
PORTABLE_STOVE,Home and Kitchen
SKATEBOARD,Sports and Outdoors
MOP,Home and Kitchen
BOTTLE_STOPPER,Home and Kitchen
KNIFE_SHARPENER,Home and Kitchen
BRAKE_KIT,Electronics
TEA_INFUSER,Home and Kitchen
DECORATIVE_MAGNET,Home and Kitchen
FOOD_BIB,Home and Kitchen
SHOWER_CAP,Beauty and Personal Care
TAPE_LABEL_DISPENSER,Office Product
FOOD_SHAKER,Home and Kitchen
DRY_SHAMPOO,Beauty and Personal Care
PET_APPAREL,Pet Supplies
SPORT_RACKET,Sports and Outdoors
DECORATIVE_POM_POM,Home and Kitchen
SUITCASE,"Clothing, Shoes, and Jewelry"
MINIATURE_TOY_FURNISHING,Toys and Games
SWIM_CAP,Sports and Outdoors
DISHWARE_PLACE_SETTING,Home and Kitchen
SKIN_BLEMISH_REMOVAL_TOOL,Beauty and Personal Care
CAMERA_LENSES,Electronics
OUTERWEAR,"Clothing, Shoes, and Jewelry"
CAMERA_FILM,Electronics
KEYBOARD_INSTRUMENTS,Electronics
FITNESS_HOOP,Sports and Outdoors
GRILL_SMOKER_COVER,Home and Kitchen
BISS,Electronics
CURTAIN_SWAG_HOLDER,Home and Kitchen
PAPER_SHREDDER,Office Product
STAPLER,Office Product
BAR_CODE_READER,Electronics
WATER_PUMP,Home and Kitchen
MICROSCOPES,Electronics
HARD_DRIVE_ENCLOSURE,Electronics
THREAD_CORD,Home and Kitchen
UNMANNED_AERIAL_VEHICLE,Electronics
PLAY_SLIDE,Home and Kitchen
ELECTRIC_LANTERN,Home and Kitchen
HEADBOARD,Home and Kitchen
VEHICLE_SAFETY_CAMERA,Electronics
TRANSFORMER,Electronics
JUICER,Home and Kitchen
WAIST_PACK,"Clothing, Shoes, and Jewelry"
PHOTOGRAPHIC_FILM,Electronics
DECORATIVE_RIBBON_TRIM,Home and Kitchen
ABIS_DRUGSTORE,Beauty and Personal Care
FOOD_MASHER,Home and Kitchen
JUMP_ROPE,Sports and Outdoors
FACIAL_STEAMER,Beauty and Personal Care
BATH_PILLOW,Home and Kitchen
TV_TUNER_CARD,Electronics
POLISHING_BUFFING_TOOL,Home and Kitchen
NAIL_POLISH_BRUSH,Beauty and Personal Care
WILDLIFE_FEEDER,Home and Kitchen
SWIMMING_POOL,Home and Kitchen
FACE_SHIELD,Beauty and Personal Care
MEDIA_STORAGE,Electronics
BLADED_FOOD_PEELER,Home and Kitchen
BEER,Food
GARMENT_PROTECTOR_COVER,Home and Kitchen
OFFICE_ELECTRONICS,Electronics
FOUNTAIN,Home and Kitchen
CORD_MANAGEMENT_COVER,Home and Kitchen
SEASONING_MILL,Home and Kitchen
SNAP_FASTENER,Home and Kitchen
GAMES,Toys and Games
MOTHERBOARD,Electronics
BED_CURTAIN,Home and Kitchen
EGG,Food
PLECTRUM,Electronics
GUITARS,Electronics
CLINICAL_DIAGNOSTIC_TESTING_KIT,Beauty and Personal Care
PUMP_SPRAYER,Home and Kitchen
SAW,Home and Kitchen
ANCHOR_STAKE,Home and Kitchen
CAMERA_LENS_FILTERS,Electronics
WEED_MOSS_CONTROL_AGENT,Home and Kitchen
CASSEROLES,Home and Kitchen
GUN_SLING,"Clothing, Shoes, and Jewelry"
ICE_CHEST,Home and Kitchen
VEHICLE_MOLDING,Electronics
BICYCLE_TRAINER,Electronics
ANIMAL_SHELTER,Pet Supplies
ELECTRONIC_SENSOR,Electronics
FOOD_BLENDER,Home and Kitchen
HANDLEBAR,Electronics
KNIFE,Home and Kitchen
TARP,Home and Kitchen
DIMENSIONAL_MEASUREMENT_CALIPER,Home and Kitchen
GUN_CLEANING_KIT,"Clothing, Shoes, and Jewelry"
AUTO_OIL,Electronics
CHAINSAW,Home and Kitchen
SHIN_GUARD,Sports and Outdoors
TRACK_SUIT,"Clothing, Shoes, and Jewelry"
WINDING_REEL,Home and Kitchen
BOXING_GLOVE,Sports and Outdoors
MESS_KIT,Home and Kitchen
HYDRATION_PACK,Sports and Outdoors
POWER_INVERTER,Electronics
NAIL_POWDER,Beauty and Personal Care
COSTUME_EYEWEAR,"Clothing, Shoes, and Jewelry"
SEWING_BUTTON,Home and Kitchen
EXERCISE_STRAP,Sports and Outdoors
BABY_SEAT,Home and Kitchen
CHANGING_PAD,Home and Kitchen
BAR_TOOL_SET,Home and Kitchen
ABIS_VIDEO,Electronics
CAMERA_CLEANER,Electronics
SHIPPING_BOX,Home and Kitchen
MANUAL_FOOD_MILL_GRINDER,Home and Kitchen
COOKING_POT,Home and Kitchen
PAPER_CLIP_CLAMP,Office Product
CHAIR_MAT,Home and Kitchen
AUDIO_MIDI_INTERFACE,Electronics
BEVERAGE_INSULATOR,Home and Kitchen
EYEGLASS_REPAIR_KIT,"Clothing, Shoes, and Jewelry"
KEYCAP,Electronics
BATHTUB,Home and Kitchen
DRYING_RACK,Home and Kitchen
TOY_SLIME,Toys and Games
VIDEO_GAME_HARDWARE,Electronics
TEMPLATE_STENCIL,Home and Kitchen
BASKETBALL_HOOP,Sports and Outdoors
PLIERS,Home and Kitchen
ABDOMINAL_EXERCISER,Sports and Outdoors
YO_YO,Toys and Games
ELECTRONIC_DEVICE_DOCKING_STATION,Electronics
CONSUMABLES_EMAIL_GIFT_CARD,Electronics
APPAREL_PIN,"Clothing, Shoes, and Jewelry"
BUCKLE,"Clothing, Shoes, and Jewelry"
UTILITY_HOLSTER_POUCH,Home and Kitchen
GUILD_TOYS_AND_GAMES,Toys and Games
MORTAR_AND_PESTLE_SET,Home and Kitchen
ARM_SLEEVE,"Clothing, Shoes, and Jewelry"
GAMING_EQUIPMENT_ENCLOSURE,Electronics
GUITAR_EFFECT_DEVICE,Electronics
PROJECTILE_BOW,Sports and Outdoors
RAKE,Home and Kitchen
TRASH_COMPACTOR,Home and Kitchen
TOY_MODEL_VEHICLE_TRACK,Toys and Games
TABLE_RUNNER,Home and Kitchen
KNIFE_BLOCK_SET,Home and Kitchen
FACIAL_TISSUE_HOLDER,Home and Kitchen
PORTABLE_TOOL_BOX,Home and Kitchen
FLAT_SHEET,Home and Kitchen
PANTRY,Home and Kitchen
ELECTRONIC_DEVICE_COOLING_PAD,Electronics
INSULATION,Home and Kitchen
PET_DOOR,Pet Supplies
CORD_ROPE,Home and Kitchen
SUSPENSION_LIFT_SUPPORT,Electronics
WEARABLE_WEIGHT,Sports and Outdoors
TOPICAL_HAIR_REGROWTH_TREATMENT,Beauty and Personal Care
RAMP,Home and Kitchen
MARBLE_TRACK,Toys and Games
COLLAPSIBLE_PLAY_STRUCTURE,Home and Kitchen
PORTABLE_FREESTANDING_SHELTER,Home and Kitchen
BLAZER,"Clothing, Shoes, and Jewelry"
PUNCHING_BAG,Sports and Outdoors
COUNTERTOP_BURNER,Home and Kitchen
MOUNTED_STORAGE_SYSTEM_KIT,Home and Kitchen
RIDE_ON_TOY,Toys and Games
LIGHTED_OUTDOOR_DISPLAY,Home and Kitchen
CAKE_TOPPER,Home and Kitchen
ELECTRONIC_LEARNING_TOY,Toys and Games
SNOW_GLOBE,Home and Kitchen
VIVARIUM,Pet Supplies
SPINNING_TOY_TOP,Toys and Games
PINATA,Home and Kitchen
DARTBOARD,Sports and Outdoors
ELECTRONIC_DEVICE_SKIN,Electronics
PEN_MARKER_INK_CARTRIDGE_REFILL,Office Product
ADVENT_CALENDAR,Home and Kitchen
TEMPORARY_TATTOO,Beauty and Personal Care
HELMET,Sports and Outdoors
EDIBLE_OIL_ANIMAL,Food
JEWELRY,"Clothing, Shoes, and Jewelry"
MASSAGE_STICK,Beauty and Personal Care
ACCESSORY_OR_PART_OR_SUPPLY,Electronics
SPOON_REST,Home and Kitchen
CHEMICAL_TEST_STRIP,Beauty and Personal Care
STOOL_SEATING,Home and Kitchen
ENEMA_DOUCHE,Beauty and Personal Care
WALLPAPER,Home and Kitchen
BARBECUE_GRILL,Home and Kitchen
WHISK_UTENSIL,Home and Kitchen
BREAD_MAKING_MACHINE,Home and Kitchen
AUDIO_OR_VIDEO,Electronics
VIDEO_GAME_PERIPHERAL_SET,Electronics
ELECTRONIC_DEVICE_FACEPLATE,Electronics
SPIRITS,Food
PASTRY_BASTING_BRUSH,Home and Kitchen
STORE_FIXTURES_AND_EQUIPMENT,Home and Kitchen
DISPLAY_ENCLOSURE,Home and Kitchen
PET_HEALTH_CARE,Pet Supplies
SEWING_MACHINE,Home and Kitchen
ADHESIVES_AND_SEALANTS,Home and Kitchen
PRESSURE_WASHER,Home and Kitchen
CAPACITOR,Electronics
PROTECTED_COLLECTION,Home and Kitchen
MOTOR_STARTER,Electronics
ELECTRIC_MOTOR,Electronics
BOOKS_1973_AND_LATER,Books
PARTY_SUPPLIES,Home and Kitchen
PLAY_WORKSTATION,Home and Kitchen
DOLL_CLOTHING,Toys and Games
BATHTUB_SHOWER_TRIM_KIT,Home and Kitchen
KICK_SCOOTER,Sports and Outdoors
ROLLER_SKATE,Sports and Outdoors
WEATHER_STATION,Home and Kitchen
WEIGHT_PLATE,Sports and Outdoors
HOT_GLUE_GUN,Home and Kitchen
HAIR_CARE_AGENT,Beauty and Personal Care
CROCHET_HOOK,Home and Kitchen
GRIDDLE_PLATE,Home and Kitchen
BARBECUE_TOOL_SET,Home and Kitchen
